音乐-全音符𝅝 .yl-qyf
音乐-二分音符𝅗𝅥 .yl-efyf
音乐-四分音符𝅘𝅥 .yl-sfyf
音乐-八分音符𝅘𝅥𝅮 .yl-bfyf
音乐-十六分音符𝅘𝅥𝅯 .yl-slfyf
音乐-三十二分音符𝅘𝅥𝅰 .yl-ssefyf
音乐-六十四分音符𝅘𝅥𝅱 .yl-lssfyf
音乐-一百二十八分音符𝅘𝅥𝅲 .yl-ybesbfyf
音乐-全休止符𝄻 .yl-qxzf
音乐-二分休止符𝄼 .yl-efxzf
音乐-四分休止符𝄽 .yl-sfxzf
音乐-八分休止符𝄾 .yl-bfxzf
音乐-十六分休止符𝄿 .yl-slfxzf
音乐-三十二分休止符𝅀 .yl-ssefxzf
音乐-六十四分休止符𝅁 .yl-lssfxzf
音乐-一百二十八分休止符𝅂 .yl-ybesbfxzf
音乐-升记号♯ .yl-sjh
音乐-降记号♭ .yl-jjh
音乐-还原记号♮ .yl-hyjh
音乐-重升记号𝄪 .yl-zsjh
音乐-重降记号𝄫 .yl-zjjh
音乐-高音谱号𝄞 .yl-gyph
音乐-低音谱号𝄢 .yl-dyph
方向-左← .fx-z
方向-上↑ .fx-s
方向-右→ .fx-y
方向-下↓ .fx-x
方向-左上↖ .fx-zs
方向-右上↗ .fx-ys
方向-右下↘ .fx-yx
方向-左下↙ .fx-zx
数学-负− .sx-f
数学-根号√ .sx-gh
数学-三次根号∛ .sx-scgh
数学-四次根号∜ .sx-scgh
数学-正比于∝ .sx-zby
数学-无穷∞ .sx-wq
数学-角∠ .sx-j
数学-平行于∥ .sx-pxy
数学-交集∩ .sx-jj
数学-并集∪ .sx-bj
数学-积分∫ .sx-jf
数学-双重积分∬ .sx-szjf
数学-二重积分∬ .sx-ezjf
数学-三重积分∭ .sx-szjf
数学-所以∴ .sx-sy
数学-因为∵ .sx-yw
数学-相似于∽ .sx-xsy
数学-全等于≌ .sx-qdy
数学-垂直于⊥ .sx-czy
数学-约等于≈ .sx-ydy
数学-不等于≠ .sx-bdy
数学-包含于⊂ .sx-bhy
数学-小于等于≤ .sx-xydy
数学-大于等于≥ .sx-dydy
数学-异或⊕ .sx-yh
数学-零次方⁰ .sx-lcf
数学-一次方¹ .sx-ycf
数学-二次方² .sx-ecf
数学-平方² .sx-pf
数学-三次方³ .sx-scf
数学-立方³ .sx-lf
数学-四次方⁴ .sx-scf
数学-五次方⁵ .sx-wcf
数学-六次方⁶ .sx-lcf
数学-七次方⁷ .sx-qcf
数学-八次方⁸ .sx-bcf
数学-九次方⁹ .sx-jcf
数学-摄氏度℃ .sx-ssd
数学-华氏度℉ .sx-hsd
数学-百分号％ .sx-bfh
数学-千分号‰ .sx-qfh
数学-万分号‱ .sx-wfh
数学-度° .sx-d
数学-欧姆Ω .sx-om
数学-皮安㎀ .sx-pa
数学-纳安㎁ .sx-na
数学-微安㎂ .sx-wa
数学-毫安㎃ .sx-ha
数学-千安培㎄ .sx-qap
数学-千字节㎅ .sx-qzj
数学-兆字节㎆ .sx-zzj
数学-吉字节㎇ .sx-jzj
数学-卡路里㎈ .sx-qll
数学-卡㎈ .sx-q
数学-千卡㎉ .sx-qq
数学-皮法㎊ .sx-pf
数学-纳法㎋ .sx-nf
数学-微法㎌ .sx-wf
数学-微克㎍ .sx-wk
数学-毫克㎎ .sx-hk
数学-千克㎏ .sx-qk
数学-赫㎐ .sx-h
数学-赫兹㎐ .sx-hz
数学-千赫㎑ .sx-qh
数学-千赫兹㎑ .sx-qhz
数学-兆赫㎒ .sx-zh
数学-兆赫兹㎒ .sx-zhz
